assertion_id,subject_person_id,object_person_id,relation_type,relation_subtype,direction,status,confidence,editorial_status
"asrt-0001","nt-people-0084","nt-people-0001","kinship","child","directed","inactive","0.8","pending"
"asrt-0002","nt-people-0001","nt-people-0243","kinship","sibling","undirected","inactive","0.8","pending"
"asrt-0003","nt-people-0002","nt-people-0010","kinship","parent","directed","inactive","0.8","pending"
"asrt-0004","nt-people-0002","nt-people-0106","kinship","parent","directed","inactive","0.8","pending"
"asrt-0005","nt-people-0002","nt-people-0063","kinship","sibling","undirected","inactive","0.8","pending"
"asrt-0006","nt-people-0002","nt-people-0316","kinship","sibling","undirected","inactive","0.8","pending"
"asrt-0007","nt-people-0005","nt-people-0295","kinship","parent","directed","inactive","0.8","pending"
"asrt-0008","nt-people-0044","nt-people-0005","kinship","child","directed","inactive","0.8","pending"
"asrt-0009","nt-people-0006","nt-people-0371","kinship","parent","directed","inactive","0.8","pending"
"asrt-0010","nt-people-0086","nt-people-0006","kinship","child","directed","inactive","0.8","pending"
"asrt-0011","nt-people-0007","nt-people-0343","kinship","parent","directed","inactive","0.8","pending"
"asrt-0012","nt-people-0133","nt-people-0007","kinship","child","directed","inactive","0.8","pending"
"asrt-0013","nt-people-0007","nt-people-0246","kinship","sibling","undirected","inactive","0.8","pending"
"asrt-0014","nt-people-0007","nt-people-0309","kinship","sibling","undirected","inactive","0.8","pending"
"asrt-0015","nt-people-0007","nt-people-0309","kinship","partner","undirected","inactive","0.8","pending"
"asrt-0016","nt-people-0007","nt-people-0118","kinship","partner","undirected","inactive","0.8","pending"
"asrt-0017","nt-people-0009","nt-people-0363","kinship","parent","directed","inactive","0.8","pending"
"asrt-0018","nt-people-0090","nt-people-0009","kinship","child","directed","inactive","0.8","pending"
"asrt-0019","nt-people-0063","nt-people-0010","kinship","child","directed","inactive","0.8","pending"
"asrt-0020","nt-people-0002","nt-people-0010","kinship","child","directed","inactive","0.8","pending"
"asrt-0021","nt-people-0316","nt-people-0010","kinship","child","directed","inactive","0.8","pending"
"asrt-0022","nt-people-0010","nt-people-0106","kinship","sibling","undirected","inactive","0.8","pending"
"asrt-0023","nt-people-0010","nt-people-0106","kinship","partner","undirected","inactive","0.8","pending"
"asrt-0024","nt-people-0011","nt-people-0072","kinship","parent","directed","inactive","0.8","pending"
"asrt-0025","nt-people-0236","nt-people-0011","kinship","child","directed","inactive","0.8","pending"
"asrt-0026","nt-people-0014","nt-people-0126","kinship","parent","directed","inactive","0.8","pending"
"asrt-0027","nt-people-0015","nt-people-0182","kinship","parent","directed","inactive","0.8","pending"
"asrt-0028","nt-people-0129","nt-people-0015","kinship","child","directed","inactive","0.8","pending"
"asrt-0029","nt-people-0019","nt-people-0332","kinship","parent","directed","inactive","0.8","pending"
"asrt-0030","nt-people-0019","nt-people-0301","kinship","sibling","undirected","inactive","0.8","pending"
"asrt-0031","nt-people-0020","nt-people-0137","kinship","parent","directed","inactive","0.8","pending"
"asrt-0032","nt-people-0143","nt-people-0020","kinship","child","directed","inactive","0.8","pending"
"asrt-0033","nt-people-0178","nt-people-0020","kinship","child","directed","inactive","0.8","pending"
"asrt-0034","nt-people-0233","nt-people-0020","kinship","child","directed","inactive","0.8","pending"
"asrt-0035","nt-people-0020","nt-people-0176","kinship","sibling","undirected","inactive","0.8","pending"
"asrt-0036","nt-people-0020","nt-people-0225","kinship","partner","undirected","inactive","0.8","pending"
"asrt-0037","nt-people-0021","nt-people-0293","kinship","parent","directed","inactive","0.8","pending"
"asrt-0038","nt-people-0247","nt-people-0021","kinship","child","directed","inactive","0.8","pending"
"asrt-0039","nt-people-0022","nt-people-0218","kinship","parent","directed","inactive","0.8","pending"
"asrt-0040","nt-people-0181","nt-people-0022","kinship","child","directed","inactive","0.8","pending"
"asrt-0041","nt-people-0023","nt-people-0248","kinship","parent","directed","inactive","0.8","pending"
"asrt-0042","nt-people-0229","nt-people-0023","kinship","child","directed","inactive","0.8","pending"
"asrt-0043","nt-people-0027","nt-people-0308","kinship","partner","undirected","inactive","0.8","pending"
"asrt-0044","nt-people-0028","nt-people-0166","kinship","parent","directed","inactive","0.8","pending"
"asrt-0045","nt-people-0028","nt-people-0271","kinship","sibling","undirected","inactive","0.8","pending"
"asrt-0046","nt-people-0030","nt-people-0272","kinship","parent","directed","inactive","0.8","pending"
"asrt-0047","nt-people-0036","nt-people-0284","kinship","partner","undirected","inactive","0.8","pending"
"asrt-0048","nt-people-0037","nt-people-0126","kinship","parent","directed","inactive","0.8","pending"
"asrt-0049","nt-people-0037","nt-people-0126","kinship","sibling","undirected","inactive","0.8","pending"
"asrt-0050","nt-people-0037","nt-people-0278","kinship","sibling","undirected","inactive","0.8","pending"
"asrt-0051","nt-people-0042","nt-people-0320","kinship","parent","directed","inactive","0.8","pending"
"asrt-0052","nt-people-0064","nt-people-0042","kinship","child","directed","inactive","0.8","pending"
"asrt-0053","nt-people-0044","nt-people-0005","kinship","parent","directed","inactive","0.8","pending"
"asrt-0054","nt-people-0152","nt-people-0044","kinship","child","directed","inactive","0.8","pending"
"asrt-0055","nt-people-0045","nt-people-0135","kinship","parent","directed","inactive","0.8","pending"
"asrt-0056","nt-people-0045","nt-people-0297","kinship","sibling","undirected","inactive","0.8","pending"
"asrt-0057","nt-people-0045","nt-people-0325","kinship","sibling","undirected","inactive","0.8","pending"
"asrt-0058","nt-people-0045","nt-people-0204","kinship","sibling","undirected","inactive","0.8","pending"
"asrt-0059","nt-people-0045","nt-people-0184","kinship","sibling","undirected","inactive","0.8","pending"
"asrt-0060","nt-people-0045","nt-people-0249","kinship","sibling","undirected","inactive","0.8","pending"
"asrt-0061","nt-people-0045","nt-people-0110","kinship","sibling","undirected","inactive","0.8","pending"
"asrt-0062","nt-people-0045","nt-people-0136","kinship","sibling","undirected","inactive","0.8","pending"
"asrt-0063","nt-people-0045","nt-people-0365","kinship","sibling","undirected","inactive","0.8","pending"
"asrt-0064","nt-people-0045","nt-people-0176","kinship","sibling","undirected","inactive","0.8","pending"
"asrt-0065","nt-people-0045","nt-people-0057","kinship","sibling","undirected","inactive","0.8","pending"
"asrt-0066","nt-people-0048","nt-people-0086","kinship","parent","directed","inactive","0.8","pending"
"asrt-0067","nt-people-0363","nt-people-0048","kinship","child","directed","inactive","0.8","pending"
"asrt-0068","nt-people-0049","nt-people-0058","kinship","parent","directed","inactive","0.8","pending"
"asrt-0069","nt-people-0054","nt-people-0225","kinship","sibling","undirected","inactive","0.8","pending"
"asrt-0070","nt-people-0056","nt-people-0350","kinship","parent","directed","inactive","0.8","pending"
"asrt-0071","nt-people-0057","nt-people-0135","kinship","parent","directed","inactive","0.8","pending"
"asrt-0072","nt-people-0057","nt-people-0291","kinship","parent","directed","inactive","0.8","pending"
"asrt-0073","nt-people-0244","nt-people-0057","kinship","child","directed","inactive","0.8","pending"
"asrt-0074","nt-people-0057","nt-people-0297","kinship","sibling","undirected","inactive","0.8","pending"
"asrt-0075","nt-people-0057","nt-people-0325","kinship","sibling","undirected","inactive","0.8","pending"
"asrt-0076","nt-people-0057","nt-people-0204","kinship","sibling","undirected","inactive","0.8","pending"
"asrt-0077","nt-people-0057","nt-people-0184","kinship","sibling","undirected","inactive","0.8","pending"
"asrt-0078","nt-people-0057","nt-people-0249","kinship","sibling","undirected","inactive","0.8","pending"
"asrt-0079","nt-people-0057","nt-people-0110","kinship","sibling","undirected","inactive","0.8","pending"
"asrt-0080","nt-people-0057","nt-people-0045","kinship","sibling","undirected","inactive","0.8","pending"
"asrt-0081","nt-people-0057","nt-people-0136","kinship","sibling","undirected","inactive","0.8","pending"
