option_id,person_id,identity_key,status,identity_scope,rationale,editor_note
"idopt-0001","nt-people-0001","Aaron@Exo.4.14-Heb=H0175","independent","default","Default conservative identity, no merges applied.","Auto-import from source:0002 (TIPNR - Translators Individualised Proper Names with all References - STEPBible.org CC BY.txt)"
"idopt-0002","nt-people-0002","Abel@Gen.4.2-Heb=H1893","independent","default","Default conservative identity, no merges applied.","Auto-import from source:0002 (TIPNR - Translators Individualised Proper Names with all References - STEPBible.org CC BY.txt)"
"idopt-0003","nt-people-0003","Abiathar@1Sa.22.20-Mrk=H0054","independent","default","Default conservative identity, no merges applied.","Auto-import from source:0002 (TIPNR - Translators Individualised Proper Names with all References - STEPBible.org CC BY.txt)"
"idopt-0004","nt-people-0004","Abijah@1Ch.24.10-Luk=H0029L","independent","default","Default conservative identity, no merges applied.","Auto-import from source:0002 (TIPNR - Translators Individualised Proper Names with all References - STEPBible.org CC BY.txt)"
"idopt-0005","nt-people-0005","Abijah@1Ki.14.31-Mat=H0029I","independent","default","Default conservative identity, no merges applied.","Auto-import from source:0002 (TIPNR - Translators Individualised Proper Names with all References - STEPBible.org CC BY.txt)"
"idopt-0006","nt-people-0006","Abiud@Mat.1.13=G0010","independent","default","Default conservative identity, no merges applied.","Auto-import from source:0002 (TIPNR - Translators Individualised Proper Names with all References - STEPBible.org CC BY.txt)"
"idopt-0007","nt-people-0007","Abraham@Gen.11.26-1Pe=H0085","independent","default","Default conservative identity, no merges applied.","Auto-import from source:0002 (TIPNR - Translators Individualised Proper Names with all References - STEPBible.org CC BY.txt)"
"idopt-0008","nt-people-0008","Achaicus@1Co.16.17-=G0883","independent","default","Default conservative identity, no merges applied.","Auto-import from source:0002 (TIPNR - Translators Individualised Proper Names with all References - STEPBible.org CC BY.txt)"
"idopt-0009","nt-people-0009","Achim@Mat.1.14=G0885","independent","default","Default conservative identity, no merges applied.","Auto-import from source:0002 (TIPNR - Translators Individualised Proper Names with all References - STEPBible.org CC BY.txt)"
"idopt-0010","nt-people-0010","Adam@Gen.2.19-Jud=H0121G","independent","default","Default conservative identity, no merges applied.","Auto-import from source:0002 (TIPNR - Translators Individualised Proper Names with all References - STEPBible.org CC BY.txt)"
"idopt-0011","nt-people-0011","Addi@Luk.3.28=G0078","independent","default","Default conservative identity, no merges applied.","Auto-import from source:0002 (TIPNR - Translators Individualised Proper Names with all References - STEPBible.org CC BY.txt)"
"idopt-0012","nt-people-0012","Aeneas@Act.9.33-=G0132","independent","default","Default conservative identity, no merges applied.","Auto-import from source:0002 (TIPNR - Translators Individualised Proper Names with all References - STEPBible.org CC BY.txt)"
