mention_id,person_id,passage,source_id,status
"mnt-0001","nt-people-0001","LUK 1:5","source:0002","accepted"
"mnt-0002","nt-people-0001","ACT 7:40","source:0002","accepted"
"mnt-0003","nt-people-0001","HEB 5:4","source:0002","accepted"
"mnt-0004","nt-people-0001","HEB 7:11","source:0002","accepted"
"mnt-0005","nt-people-0001","HEB 9:4","source:0002","accepted"
"mnt-0006","nt-people-0002","MAT 23:35","source:0002","accepted"
"mnt-0007","nt-people-0002","LUK 11:51","source:0002","accepted"
"mnt-0008","nt-people-0002","HEB 11:4","source:0002","accepted"
"mnt-0009","nt-people-0002","HEB 12:24","source:0002","accepted"
"mnt-0010","nt-people-0003","MRK 2:26","source:0002","accepted"
"mnt-0011","nt-people-0004","LUK 1:5","source:0002","accepted"
"mnt-0012","nt-people-0005","MAT 1:7","source:0002","accepted"
"mnt-0013","nt-people-0006","MAT 1:13","source:0002","accepted"
"mnt-0014","nt-people-0007","MAT 1:1","source:0002","accepted"
"mnt-0015","nt-people-0007","MAT 1:2","source:0002","accepted"
"mnt-0016","nt-people-0007","MAT 1:17","source:0002","accepted"
"mnt-0017","nt-people-0007","MAT 3:9","source:0002","accepted"
"mnt-0018","nt-people-0007","MAT 8:11","source:0002","accepted"
"mnt-0019","nt-people-0007","MAT 22:32","source:0002","accepted"
"mnt-0020","nt-people-0007","MRK 12:26","source:0002","accepted"
"mnt-0021","nt-people-0007","LUK 1:55","source:0002","accepted"
"mnt-0022","nt-people-0007","LUK 1:73","source:0002","accepted"
"mnt-0023","nt-people-0007","LUK 3:8","source:0002","accepted"
"mnt-0024","nt-people-0007","LUK 3:34","source:0002","accepted"
"mnt-0025","nt-people-0007","LUK 13:16","source:0002","accepted"
"mnt-0026","nt-people-0007","LUK 13:28","source:0002","accepted"
"mnt-0027","nt-people-0007","LUK 16:22","source:0002","accepted"
"mnt-0028","nt-people-0007","LUK 16:23","source:0002","accepted"
"mnt-0029","nt-people-0007","LUK 16:24","source:0002","accepted"
"mnt-0030","nt-people-0007","LUK 16:25","source:0002","accepted"
"mnt-0031","nt-people-0007","LUK 16:29","source:0002","accepted"
"mnt-0032","nt-people-0007","LUK 16:30","source:0002","accepted"
"mnt-0033","nt-people-0007","LUK 19:9","source:0002","accepted"
"mnt-0034","nt-people-0007","LUK 20:37","source:0002","accepted"
"mnt-0035","nt-people-0007","JHN 8:33","source:0002","accepted"
"mnt-0036","nt-people-0007","JHN 8:37","source:0002","accepted"
"mnt-0037","nt-people-0007","JHN 8:39","source:0002","accepted"
"mnt-0038","nt-people-0007","JHN 8:40","source:0002","accepted"
"mnt-0039","nt-people-0007","JHN 8:52","source:0002","accepted"
"mnt-0040","nt-people-0007","JHN 8:53","source:0002","accepted"
"mnt-0041","nt-people-0007","JHN 8:56","source:0002","accepted"
"mnt-0042","nt-people-0007","JHN 8:57","source:0002","accepted"
"mnt-0043","nt-people-0007","JHN 8:58","source:0002","accepted"
"mnt-0044","nt-people-0007","ACT 3:13","source:0002","accepted"
"mnt-0045","nt-people-0007","ACT 3:25","source:0002","accepted"
"mnt-0046","nt-people-0007","ACT 7:2","source:0002","accepted"
"mnt-0047","nt-people-0007","ACT 7:16","source:0002","accepted"
"mnt-0048","nt-people-0007","ACT 7:17","source:0002","accepted"
"mnt-0049","nt-people-0007","ACT 7:32","source:0002","accepted"
"mnt-0050","nt-people-0007","ACT 13:26","source:0002","accepted"
"mnt-0051","nt-people-0007","ROM 4:1","source:0002","accepted"
"mnt-0052","nt-people-0007","ROM 4:2","source:0002","accepted"
"mnt-0053","nt-people-0007","ROM 4:3","source:0002","accepted"
"mnt-0054","nt-people-0007","ROM 4:9","source:0002","accepted"
"mnt-0055","nt-people-0007","ROM 4:12","source:0002","accepted"
"mnt-0056","nt-people-0007","ROM 4:13","source:0002","accepted"
"mnt-0057","nt-people-0007","ROM 4:16","source:0002","accepted"
"mnt-0058","nt-people-0007","ROM 9:7","source:0002","accepted"
"mnt-0059","nt-people-0007","ROM 11:1","source:0002","accepted"
"mnt-0060","nt-people-0007","2CO 11:22","source:0002","accepted"
"mnt-0061","nt-people-0007","GAL 3:6","source:0002","accepted"
"mnt-0062","nt-people-0007","GAL 3:7","source:0002","accepted"
"mnt-0063","nt-people-0007","GAL 3:8","source:0002","accepted"
"mnt-0064","nt-people-0007","GAL 3:9","source:0002","accepted"
"mnt-0065","nt-people-0007","GAL 3:14","source:0002","accepted"
"mnt-0066","nt-people-0007","GAL 3:16","source:0002","accepted"
"mnt-0067","nt-people-0007","GAL 3:18","source:0002","accepted"
"mnt-0068","nt-people-0007","GAL 3:29","source:0002","accepted"
"mnt-0069","nt-people-0007","GAL 4:22","source:0002","accepted"
"mnt-0070","nt-people-0007","HEB 2:16","source:0002","accepted"
"mnt-0071","nt-people-0007","HEB 6:13","source:0002","accepted"
"mnt-0072","nt-people-0007","HEB 7:1","source:0002","accepted"
"mnt-0073","nt-people-0007","HEB 7:2","source:0002","accepted"
"mnt-0074","nt-people-0007","HEB 7:4","source:0002","accepted"
"mnt-0075","nt-people-0007","HEB 7:5","source:0002","accepted"
"mnt-0076","nt-people-0007","HEB 7:6","source:0002","accepted"
"mnt-0077","nt-people-0007","HEB 7:9","source:0002","accepted"
"mnt-0078","nt-people-0007","HEB 11:8","source:0002","accepted"
"mnt-0079","nt-people-0007","HEB 11:17","source:0002","accepted"
"mnt-0080","nt-people-0007","JAS 2:21","source:0002","accepted"
"mnt-0081","nt-people-0007","JAS 2:23","source:0002","accepted"
"mnt-0082","nt-people-0007","1PE 3:6","source:0002","accepted"
"mnt-0083","nt-people-0008","1CO 16:17","source:0002","accepted"
"mnt-0084","nt-people-0008","1CO 16:24","source:0002","accepted"
"mnt-0085","nt-people-0009","MAT 1:14","source:0002","accepted"
"mnt-0086","nt-people-0010","LUK 3:38","source:0002","accepted"
"mnt-0087","nt-people-0010","ROM 5:14","source:0002","accepted"
"mnt-0088","nt-people-0010","1CO 15:22","source:0002","accepted"
"mnt-0089","nt-people-0010","1CO 15:45","source:0002","accepted"
"mnt-0090","nt-people-0010","1TI 2:13","source:0002","accepted"
"mnt-0091","nt-people-0010","1TI 2:14","source:0002","accepted"
"mnt-0092","nt-people-0010","JUD 1:14","source:0002","accepted"
"mnt-0093","nt-people-0011","LUK 3:28","source:0002","accepted"
"mnt-0094","nt-people-0012","ACT 9:33","source:0002","accepted"
"mnt-0095","nt-people-0012","ACT 9:34","source:0002","accepted"
"mnt-0096","nt-people-0013","ACT 11:28","source:0002","accepted"
"mnt-0097","nt-people-0013","ACT 21:10","source:0002","accepted"
"mnt-0098","nt-people-0014","ACT 25:13","source:0002","accepted"
"mnt-0099","nt-people-0014","ACT 25:22","source:0002","accepted"
"mnt-0100","nt-people-0014","ACT 25:23","source:0002","accepted"
"mnt-0101","nt-people-0014","ACT 25:24","source:0002","accepted"
"mnt-0102","nt-people-0014","ACT 25:26","source:0002","accepted"
"mnt-0103","nt-people-0014","ACT 26:1","source:0002","accepted"
"mnt-0104","nt-people-0014","ACT 26:7","source:0002","accepted"
"mnt-0105","nt-people-0014","ACT 26:2","source:0002","accepted"
"mnt-0106","nt-people-0014","ACT 26:19","source:0002","accepted"
"mnt-0107","nt-people-0014","ACT 26:27","source:0002","accepted"
"mnt-0108","nt-people-0014","ACT 26:28","source:0002","accepted"
"mnt-0109","nt-people-0014","ACT 26:32","source:0002","accepted"
"mnt-0110","nt-people-0015","MAT 1:9","source:0002","accepted"
"mnt-0111","nt-people-0016","1TI 1:20","source:0002","accepted"
"mnt-0112","nt-people-0373","2TI 4:14","source:0002","accepted"
"mnt-0113","nt-people-0017","ACT 19:33","source:0002","accepted"
"mnt-0114","nt-people-0018","ACT 4:6","source:0002","accepted"
"mnt-0115","nt-people-0019","MRK 15:21","source:0002","accepted"
"mnt-0116","nt-people-0020","MAT 10:3","source:0002","accepted"
"mnt-0117","nt-people-0020","MRK 2:14","source:0002","accepted"
"mnt-0118","nt-people-0020","MRK 3:18","source:0002","accepted"
"mnt-0119","nt-people-0020","LUK 6:15","source:0002","accepted"
"mnt-0120","nt-people-0020","ACT 1:13","source:0002","accepted"
"mnt-0121","nt-people-0020","LUK 24:18","source:0002","accepted"
"mnt-0122","nt-people-0020","JHN 19:25","source:0002","accepted"
"mnt-0123","nt-people-0021","MAT 1:4","source:0002","accepted"
"mnt-0124","nt-people-0021","LUK 3:33","source:0002","accepted"
"mnt-0125","nt-people-0022","MAT 1:10","source:0002","accepted"
"mnt-0126","nt-people-0023","LUK 3:25","source:0002","accepted"
"mnt-0127","nt-people-0024","ROM 16:8","source:0002","accepted"
"mnt-0128","nt-people-0025","ACT 23:2","source:0002","accepted"
"mnt-0129","nt-people-0025","ACT 24:1","source:0002","accepted"
"mnt-0130","nt-people-0026","ACT 5:1","source:0002","accepted"
"mnt-0131","nt-people-0026","ACT 5:3","source:0002","accepted"
"mnt-0132","nt-people-0026","ACT 5:5","source:0002","accepted"
"mnt-0133","nt-people-0027","ACT 9:10","source:0002","accepted"
"mnt-0134","nt-people-0027","ACT 9:12","source:0002","accepted"
"mnt-0135","nt-people-0027","ACT 9:13","source:0002","accepted"
"mnt-0136","nt-people-0027","ACT 9:17","source:0002","accepted"
"mnt-0137","nt-people-0027","ACT 22:12","source:0002","accepted"
"mnt-0138","nt-people-0028","MAT 4:18","source:0002","accepted"
"mnt-0139","nt-people-0028","MAT 10:2","source:0002","accepted"
"mnt-0140","nt-people-0028","MRK 1:16","source:0002","accepted"
"mnt-0141","nt-people-0028","MRK 1:29","source:0002","accepted"
"mnt-0142","nt-people-0028","MRK 3:18","source:0002","accepted"
"mnt-0143","nt-people-0028","MRK 13:3","source:0002","accepted"
"mnt-0144","nt-people-0028","LUK 6:14","source:0002","accepted"
"mnt-0145","nt-people-0028","JHN 1:40","source:0002","accepted"
"mnt-0146","nt-people-0028","JHN 1:44","source:0002","accepted"
"mnt-0147","nt-people-0028","JHN 6:8","source:0002","accepted"
"mnt-0148","nt-people-0028","JHN 12:22","source:0002","accepted"
"mnt-0149","nt-people-0028","ACT 1:13","source:0002","accepted"
"mnt-0150","nt-people-0029","ROM 16:7","source:0002","accepted"
"mnt-0151","nt-people-0030","LUK 2:36","source:0002","accepted"
"mnt-0152","nt-people-0031","LUK 3:2","source:0002","accepted"
"mnt-0153","nt-people-0031","JHN 18:13","source:0002","accepted"
"mnt-0154","nt-people-0031","JHN 18:24","source:0002","accepted"
"mnt-0155","nt-people-0031","ACT 4:6","source:0002","accepted"
"mnt-0156","nt-people-0032","REV 2:13","source:0002","accepted"
"mnt-0157","nt-people-0033","ROM 16:10","source:0002","accepted"
"mnt-0158","nt-people-0034","ACT 18:24","source:0002","accepted"
"mnt-0159","nt-people-0034","ACT 19:1","source:0002","accepted"
"mnt-0160","nt-people-0034","1CO 1:12","source:0002","accepted"
"mnt-0161","nt-people-0034","1CO 3:4","source:0002","accepted"
"mnt-0162","nt-people-0034","1CO 3:5","source:0002","accepted"
"mnt-0163","nt-people-0034","1CO 3:6","source:0002","accepted"
"mnt-0164","nt-people-0034","1CO 3:22","source:0002","accepted"
"mnt-0165","nt-people-0034","1CO 4:6","source:0002","accepted"
"mnt-0166","nt-people-0034","1CO 16:12","source:0002","accepted"
"mnt-0167","nt-people-0034","TIT 3:13","source:0002","accepted"
"mnt-0168","nt-people-0035","PHM 1:2","source:0002","accepted"
"mnt-0169","nt-people-0036","ACT 18:2","source:0002","accepted"
"mnt-0170","nt-people-0036","ACT 18:18","source:0002","accepted"
"mnt-0171","nt-people-0036","ACT 18:26","source:0002","accepted"
"mnt-0172","nt-people-0036","ROM 16:3","source:0002","accepted"
"mnt-0173","nt-people-0036","1CO 16:19","source:0002","accepted"
"mnt-0174","nt-people-0036","2TI 4:19","source:0002","accepted"
"mnt-0175","nt-people-0037","MAT 2:22","source:0002","accepted"
"mnt-0176","nt-people-0038","COL 4:17","source:0002","accepted"
"mnt-0177","nt-people-0038","PHM 1:2","source:0002","accepted"
"mnt-0178","nt-people-0039","2CO 11:32","source:0002","accepted"
"mnt-0179","nt-people-0040","ACT 19:29","source:0002","accepted"
