passage,testament
"1CH 1:1","ot"
"1CH 1:10","ot"
"1CH 1:11","ot"
"1CH 1:13","ot"
"1CH 1:17","ot"
"1CH 1:18","ot"
"1CH 1:19","ot"
"1CH 1:2","ot"
"1CH 1:20","ot"
"1CH 1:21","ot"
"1CH 1:22","ot"
"1CH 1:23","ot"
"1CH 1:24","ot"
"1CH 1:25","ot"
"1CH 1:26","ot"
"1CH 1:27","ot"
"1CH 1:28","ot"
"1CH 1:29","ot"
"1CH 1:3","ot"
"1CH 1:30","ot"
"1CH 1:31","ot"
"1CH 1:32","ot"
"1CH 1:33","ot"
"1CH 1:34","ot"
"1CH 1:35","ot"
"1CH 1:36","ot"
"1CH 1:37","ot"
"1CH 1:38","ot"
"1CH 1:39","ot"
"1CH 1:4","ot"
"1CH 1:40","ot"
"1CH 1:41","ot"
"1CH 1:42","ot"
"1CH 1:43","ot"
"1CH 1:44","ot"
"1CH 1:45","ot"
"1CH 1:46","ot"
"1CH 1:47","ot"
"1CH 1:48","ot"
"1CH 1:49","ot"
"1CH 1:5","ot"
"1CH 1:50","ot"
"1CH 1:51","ot"
"1CH 1:52","ot"
"1CH 1:53","ot"
"1CH 1:54","ot"
"1CH 1:6","ot"
"1CH 1:7","ot"
"1CH 1:8","ot"
"1CH 1:9","ot"
"1CH 10:1","ot"
"1CH 10:11","ot"
"1CH 10:12","ot"
"1CH 10:13","ot"
"1CH 10:14","ot"
"1CH 10:2","ot"
"1CH 10:3","ot"
"1CH 10:4","ot"
"1CH 10:5","ot"
"1CH 10:6","ot"
"1CH 10:7","ot"
"1CH 10:8","ot"
"1CH 11:1","ot"
"1CH 11:10","ot"
"1CH 11:11","ot"
"1CH 11:12","ot"
"1CH 11:13","ot"
"1CH 11:15","ot"
"1CH 11:16","ot"
"1CH 11:17","ot"
"1CH 11:18","ot"
"1CH 11:2","ot"
"1CH 11:20","ot"
"1CH 11:22","ot"
"1CH 11:24","ot"
"1CH 11:25","ot"
"1CH 11:26","ot"
"1CH 11:27","ot"
"1CH 11:28","ot"
"1CH 11:29","ot"
"1CH 11:3","ot"
"1CH 11:30","ot"
"1CH 11:31","ot"
"1CH 11:32","ot"
"1CH 11:33","ot"
"1CH 11:34","ot"
"1CH 11:35","ot"
"1CH 11:36","ot"
"1CH 11:37","ot"
"1CH 11:38","ot"
"1CH 11:39","ot"
"1CH 11:4","ot"
"1CH 11:40","ot"
"1CH 11:41","ot"
"1CH 11:42","ot"
"1CH 11:43","ot"
"1CH 11:44","ot"
"1CH 11:45","ot"
"1CH 11:46","ot"
"1CH 11:47","ot"
"1CH 11:5","ot"
"1CH 11:6","ot"
"1CH 11:7","ot"
"1CH 11:8","ot"
"1CH 11:9","ot"
"1CH 12:1","ot"
"1CH 12:10","ot"
"1CH 12:11","ot"
"1CH 12:12","ot"
"1CH 12:13","ot"
"1CH 12:14","ot"
"1CH 12:16","ot"
"1CH 12:17","ot"
"1CH 12:18","ot"
"1CH 12:19","ot"
"1CH 12:2","ot"
"1CH 12:20","ot"
"1CH 12:21","ot"
"1CH 12:22","ot"
"1CH 12:23","ot"
"1CH 12:24","ot"
"1CH 12:25","ot"
"1CH 12:26","ot"
"1CH 12:27","ot"
"1CH 12:28","ot"
"1CH 12:29","ot"
"1CH 12:3","ot"
"1CH 12:30","ot"
"1CH 12:31","ot"
"1CH 12:32","ot"
"1CH 12:33","ot"
"1CH 12:34","ot"
"1CH 12:36","ot"
"1CH 12:37","ot"
"1CH 12:38","ot"
"1CH 12:39","ot"
"1CH 12:4","ot"
"1CH 12:40","ot"
"1CH 12:5","ot"
"1CH 12:6","ot"
"1CH 12:7","ot"
"1CH 12:8","ot"
"1CH 12:9","ot"
"1CH 13:1","ot"
"1CH 13:10","ot"
"1CH 13:11","ot"
"1CH 13:12","ot"
"1CH 13:13","ot"
"1CH 13:14","ot"
"1CH 13:2","ot"
"1CH 13:3","ot"
"1CH 13:5","ot"
"1CH 13:6","ot"
"1CH 13:7","ot"
"1CH 13:8","ot"
"1CH 13:9","ot"
"1CH 14:1","ot"
"1CH 14:10","ot"
"1CH 14:11","ot"
"1CH 14:12","ot"
"1CH 14:14","ot"
"1CH 14:16","ot"
"1CH 14:17","ot"
"1CH 14:2","ot"
"1CH 14:3","ot"
"1CH 14:4","ot"
"1CH 14:5","ot"
"1CH 14:6","ot"
"1CH 14:7","ot"
"1CH 14:8","ot"
"1CH 15:1","ot"
"1CH 15:10","ot"
"1CH 15:11","ot"
"1CH 15:12","ot"
"1CH 15:14","ot"
"1CH 15:15","ot"
"1CH 15:16","ot"
"1CH 15:17","ot"
"1CH 15:18","ot"
"1CH 15:19","ot"
"1CH 15:2","ot"
"1CH 15:20","ot"
"1CH 15:21","ot"
"1CH 15:22","ot"
"1CH 15:23","ot"
"1CH 15:24","ot"
"1CH 15:25","ot"
"1CH 15:26","ot"
"1CH 15:27","ot"
"1CH 15:28","ot"
"1CH 15:29","ot"
"1CH 15:3","ot"
"1CH 15:4","ot"
"1CH 15:5","ot"
"1CH 15:6","ot"
"1CH 15:7","ot"
"1CH 15:8","ot"
"1CH 15:9","ot"
"1CH 16:1","ot"
"1CH 16:13","ot"
"1CH 16:16","ot"
"1CH 16:17","ot"
"1CH 16:2","ot"
"1CH 16:3","ot"
"1CH 16:36","ot"
"1CH 16:37","ot"
"1CH 16:38","ot"
"1CH 16:39","ot"
"1CH 16:4","ot"
"1CH 16:40","ot"
"1CH 16:41","ot"
"1CH 16:42","ot"
"1CH 16:43","ot"
"1CH 16:5","ot"
"1CH 16:6","ot"
"1CH 16:7","ot"
"1CH 17:1","ot"
"1CH 17:10","ot"
"1CH 17:15","ot"
"1CH 17:16","ot"
"1CH 17:18","ot"
"1CH 17:2","ot"
"1CH 17:21","ot"
"1CH 17:22","ot"
"1CH 17:24","ot"
"1CH 17:3","ot"
"1CH 17:4","ot"
"1CH 17:5","ot"
"1CH 17:6","ot"
"1CH 17:7","ot"
"1CH 17:9","ot"
"1CH 18:1","ot"
"1CH 18:10","ot"
"1CH 18:11","ot"
"1CH 18:12","ot"
"1CH 18:13","ot"
"1CH 18:14","ot"
"1CH 18:15","ot"
"1CH 18:16","ot"
"1CH 18:17","ot"
"1CH 18:2","ot"
"1CH 18:3","ot"
"1CH 18:4","ot"
"1CH 18:5","ot"
"1CH 18:6","ot"
"1CH 18:7","ot"
"1CH 18:8","ot"
"1CH 18:9","ot"
"1CH 19:1","ot"
"1CH 19:10","ot"
"1CH 19:11","ot"
"1CH 19:14","ot"
"1CH 19:15","ot"
"1CH 19:16","ot"
"1CH 19:17","ot"
"1CH 19:18","ot"
"1CH 19:19","ot"
"1CH 19:2","ot"
"1CH 19:3","ot"
"1CH 19:4","ot"
"1CH 19:5","ot"
"1CH 19:6","ot"
"1CH 19:8","ot"
"1CH 2:1","ot"
"1CH 2:10","ot"
"1CH 2:11","ot"
"1CH 2:12","ot"
"1CH 2:13","ot"
"1CH 2:14","ot"
"1CH 2:15","ot"
"1CH 2:16","ot"
"1CH 2:17","ot"
"1CH 2:18","ot"
"1CH 2:19","ot"
"1CH 2:2","ot"
"1CH 2:20","ot"
"1CH 2:21","ot"
"1CH 2:22","ot"
"1CH 2:23","ot"
"1CH 2:24","ot"
"1CH 2:25","ot"
"1CH 2:26","ot"
"1CH 2:27","ot"
"1CH 2:28","ot"
"1CH 2:29","ot"
"1CH 2:3","ot"
"1CH 2:30","ot"
"1CH 2:31","ot"
"1CH 2:32","ot"
"1CH 2:33","ot"
"1CH 2:34","ot"
"1CH 2:35","ot"
"1CH 2:36","ot"
"1CH 2:37","ot"
"1CH 2:38","ot"
"1CH 2:39","ot"
"1CH 2:4","ot"
"1CH 2:40","ot"
"1CH 2:41","ot"
"1CH 2:42","ot"
"1CH 2:43","ot"
"1CH 2:44","ot"
"1CH 2:45","ot"
"1CH 2:46","ot"
