person_id,canonical_chinese,canonical_greek,latinized,sex,status,identity_group,testament,nt_ref_count,ot_ref_count,bible_ref_count
"person-000001","亚伦","Ἀαρών","Aaron","male","accepted","nt-idgrp-0001","nt,ot","5","328","333"
"person-000002","亚伯","Ἄβελ","Abel","male","accepted","nt-idgrp-0002","nt,ot","4","5","9"
"person-000003","亚比亚他","Ἀβιαθάρ","Abiathar","male","accepted","nt-idgrp-0003","nt,ot","1","28","29"
"person-000004","亚比雅","Ἀβιά","Abijah","male","accepted","nt-idgrp-0004","nt,ot","1","1","2"
"person-000005","亚比雅","Ἀβιά","Abijah","male","accepted","nt-idgrp-0005","nt,ot","1","19","20"
"person-000006","亚比玉","Ἀβιούδ","Abiud","male","accepted","nt-idgrp-0006","nt","1","0","1"
"person-000007","亚伯拉罕","Ἀβραάμ","Abraham","male","accepted","nt-idgrp-0007","nt,ot","69","206","275"
"person-000008","亚该古","Ἀχαϊκός","Achaicus","male","accepted","nt-idgrp-0008","nt","2","0","2"
"person-000009","亚金","Ἀχείμ","Achim","male","accepted","nt-idgrp-0009","nt","1","0","1"
"person-000010","亚当","Ἀδάμ","Adam","male","accepted","nt-idgrp-0010","nt,ot","7","20","27"
"person-000011","亚底","Ἀδδί","Addi","male","accepted","nt-idgrp-0011","nt","1","0","1"
"person-000012","以尼雅","Αἰνέας","Aeneas","male","accepted","nt-idgrp-0012","nt","2","0","2"
"person-000013","亚迦布","Ἄγαβος","Agabus","male","accepted","nt-idgrp-0013","nt","2","0","2"
"person-000014","亚基帕","Ἀγρίππας","Agrippa","male","accepted","nt-idgrp-0014","nt","12","0","12"
"person-000015","亚哈斯","Ἀχάζ","Ahaz","male","accepted","nt-idgrp-0015","nt,ot","1","36","37"
"person-000016","亚历山大","Ἀλέξανδρος","Alexander","male","accepted","nt-idgrp-0016","nt","1","0","1"
"person-000017","亚历山大","Ἀλέξανδρος","Alexander","male","accepted","nt-idgrp-0017","nt","1","0","1"
"person-000018","亚历山大","Ἀλέξανδρος","Alexander","male","accepted","nt-idgrp-0018","nt","1","0","1"
"person-000019","亚历山大","Ἀλέξανδρος","Alexander","male","accepted","nt-idgrp-0019","nt","1","0","1"
"person-000020","亚勒腓","Ἀλφαῖος","Alphaeus","male","accepted","nt-idgrp-0020","nt","7","0","7"
"person-000021","亚米拿达","Ἀμιναδάβ","Amminadab","male","accepted","nt-idgrp-0021","nt,ot","2","9","11"
"person-000022","亚们","Ἀμών","Amon","male","accepted","nt-idgrp-0022","nt,ot","1","14","15"
